sample_id	event_count
SP121790	625
SP121852	1131
SP121870	19
SP122372	8
SP122476	251
SP122489	49
SP122560	57
SP122590	14
SP122634	68
SP122714	19
SP123836	16
SP123840	7
SP123842	3
SP123844	18
SP123846	14
SP123850	11
SP123852	11
SP123854	9
SP123856	5
SP123858	9
SP123870	7
SP123874	7
SP123876	7
SP123878	3
SP123882	12
SP123884	20
SP123886	4
SP123888	10
SP123892	7
SP123897	8
SP123902	6
SP123950	8
SP123953	15
SP123955	6
SP123958	18
SP123964	19
SP123967	18
SP123969	35
SP123972	66
SP123978	8
SP123984	6
SP123988	10
SP123995	7
SP124013	16
SP124017	7
SP124021	7
SP124033	8
SP124191	4
SP124193	23
SP124197	140
SP124199	22
SP124201	57
SP124271	814
SP124278	369
SP124286	123
SP124295	204
SP124298	34
SP124305	36
SP124307	16
SP124319	18
SP124326	123
SP124329	35
SP124334	38
SP124336	213
SP124346	171
SP124348	334
SP124357	359
SP124367	133
SP124376	36
SP124380	138
SP124391	251
SP124394	15
SP124399	70
SP124403	125
SP124406	35
SP124409	43
SP124418	77
SP124423	64
SP124434	26
SP124444	31
SP124449	19
SP124452	53
SP124454	72
SP124458	72
SP124460	30
SP124462	136
SP124969	8
SP124971	86
SP124977	29
SP124981	24
SP125579	15
SP125685	222
SP125686	69
SP125694	21
SP125695	65
SP125698	30
SP125699	98
SP125703	75
SP125704	83
SP125705	129
SP125706	43
SP125710	32
SP125711	117
SP125712	42
SP125714	24
SP125715	18
SP125717	37
SP125719	48
SP125721	85
SP125722	51
SP125725	94
SP125730	103
SP125733	70
SP125738	59
SP125741	40
SP125742	17
SP125744	126
SP125753	17
SP125755	23
SP125756	312
SP125757	28
SP125762	81
SP125764	56
SP125766	5
SP125768	193
SP125771	118
SP125775	43
SP125776	29
SP125777	71
SP125780	29
SP125781	38
SP125783	94
SP125785	44
SP125786	118
SP125791	78
SP125793	30
SP125794	19
SP125795	66
SP125804	167
SP125807	81
SP125809	17
SP125811	104
SP127628	15
SP127630	37
SP127632	40
SP127636	22
SP127640	13
SP12856	41
SP1305	112
SP13072	101
SP13078	121
SP13084	84
SP13206	133
SP13278	6
SP13279	18
SP13281	3
SP13283	6
SP13293	7
SP13299	15
SP13307	12
SP13311	5
SP13317	4
SP13323	5
SP13325	2
SP13327	14
SP13347	7
SP13359	4
SP13361	8
SP13363	7
SP13365	3
SP13367	6
SP13379	4
SP13421	17
SP13433	7
SP13442	4
SP13478	3
SP13481	6
SP13487	5
SP13490	8
SP13509	11
SP135182	450
SP135186	351
SP135188	95
SP135194	149
SP135205	144
SP135226	99
SP135230	182
SP135234	351
SP135238	5
SP135240	86
SP135258	34
SP135262	35
SP135274	11
SP135282	14
SP135288	24
SP135299	633
SP135305	50
SP135316	12
SP135323	48
SP135328	21
SP135334	29
SP135339	14
SP135346	12
SP135354	15
SP135363	9
SP135389	9
SP13539	9
SP135390	18
SP135405	70
SP135410	7
SP135411	282
SP135415	222
SP135416	14
SP135420	173
SP135422	19
SP135425	237
SP135431	456
SP135434	25
SP135440	13
SP135444	16
SP135448	14
SP135451	12
SP135455	16
SP135460	18
SP135463	19
SP135475	28
SP135478	22
SP135480	17
SP135484	12
SP135488	149
SP135492	23
SP135496	18
SP13594	6
SP13624	7
SP1365	418
SP13671	11
SP13677	6
SP13683	6
SP1419	320
SP1431	69
SP1491	53
SP16886	14
SP16934	6
SP16958	81
SP17016	23
SP1712	9
SP1724	27
SP17294	139
SP17329	32
SP1781	73
SP17905	9
SP18787	63
SP18946	13
SP19295	3
SP19670	38
SP19983	70
SP20993	43
SP21057	88
SP21400	41
SP2143	133
SP2144	217
SP2145	165
SP2146	378
SP2147	139
SP2148	130
SP21528	18
SP2153	248
SP2155	290
SP2156	283
SP2157	29
SP22031	11
SP22750	10
SP2293	28
